[23:34:18] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:34:18] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:34:18] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:34:18] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:34:18] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:34:18] [Server thread/INFO]: Starting minecraft server version 1.14
[23:34:18] [Server thread/INFO]: Loading properties
[23:34:18] [Server thread/INFO]: Default game type: SURVIVAL
[23:34:18] [Server thread/INFO]: Generating keypair
[23:34:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:34:22] [Server thread/INFO]: Using epoll channel type
[23:34:24] [Server thread/INFO]: Preparing level "world"
[23:34:25] [Server thread/INFO]: Reloading ResourceManager: Default
[23:36:35] [Server thread/INFO]: Loaded 6 recipes
[23:36:41] [Server thread/INFO]: Loaded 811 advancements
[23:36:42] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:50] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:51] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:51] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:52] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:52] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:53] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:53] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:54] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:54] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:55] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:55] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:56] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:56] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:57] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:57] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:58] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:58] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:59] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:36:59] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:00] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:00] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:01] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:01] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:02] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:02] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:03] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:03] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:04] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:04] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:05] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:05] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:06] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:06] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:07] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:07] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:08] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:08] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[23:37:09] [Server-Worker-1/INFO]: Preparing spawn area: 0%
